Mood,Quote
positive,"Believe you can and you're halfway there."
positive,"You are enough just as you are."
positive,"One day at a time."
positive,"This too shall pass."
positive,"Your feelings are valid."
positive,"You don't have to be perfect to be amazing."
positive,"Breathe. It's just a bad day, not a bad life."
positive,"You are stronger than you think."
positive,"It's okay to take a break."
positive,"Small steps are still progress."
positive,"Act as if what you do makes a difference. It does."
positive,"Success is not final, failure is not fatal: it is the courage to continue that counts."
positive,"Never bend your head. Always hold it high. Look the world straight in the eye."
positive,"What you get by achieving your goals is not as important as what you become by achieving your goals."
positive,"Happiness is not something ready made. It comes from your own actions."
positive,"You are never too old to set another goal or to dream a new dream."
positive,"It is during our darkest moments that we must focus to see the light."
positive,"Don't watch the clock; do what it does. Keep going."
positive,"Keep your face always toward the sunshineâ€”and shadows will fall behind you."
positive,"You define your own life. Don't let other people write your script."
positive,"You are doing better than you think you are."
positive,"Progress not perfection."
positive,"Your potential is endless."
positive,"Be kind to yourself."
positive,"Every day is a fresh start."
positive,"You are capable of amazing things."
positive,"Stars can't shine without darkness."
positive,"The best view comes after the hardest climb."
positive,"Difficult roads often lead to beautiful destinations."
positive,"You are worthy of happiness."
positive,"Inhale confidence, exhale doubt."
positive,"Dream big and dare to fail."
positive,"Don't let yesterday take up too much of today."
positive,"You are magic."
positive,"Be the change that you wish to see in the world."
positive,"What lies behind us and what lies before us are tiny matters compared to what lies within us."
positive,"The only way to do great work is to love what you do."
positive,"Change your thoughts and you change your world."
positive,"Be yourself; everyone else is already taken."
positive,"Life is 10% what happens to you and 90% how you react to it."
positive,"Optimism is the faith that leads to achievement."
positive,"Failure will never overtake me if my determination to succeed is strong enough."
positive,"We may encounter many defeats but we must not be defeated."
positive,"Knowing is not enough; we must apply. Wishing is not enough; we must do."
positive,"We generate fears while we sit. We overcome them by action."
positive,"Whether you think you can or you think you can't, you're right."
positive,"Security is mostly a superstition. Life is either a daring adventure or nothing."
positive,"The man who has confidence in himself gains the confidence of others."
positive,"You are the only one who can limit your greatness."
positive,"Creativity is intelligence having fun."
positive,"Do what you can with all you have, wherever you are."
positive,"You are not a drop in the ocean. You are the entire ocean in a drop."
positive,"Be the energy you want to attract."
positive,"Positivity is a choice."
positive,"Happiness depends upon ourselves."
positive,"Turn your wounds into wisdom."
positive,"Everything you can imagine is real."
positive,"Do one thing every day that scares you."
positive,"Whatever you are, be a good one."
positive,"If you tell the truth, you don't have to remember anything."
positive,"A friend is someone who knows all about you and still loves you."
positive,"To live is the rarest thing in the world. Most people exist, that is all."
positive,"Live as if you were to die tomorrow. Learn as if you were to live forever."
positive,"We accept the love we think we deserve."
positive,"Without music, life would be a mistake."
positive,"It is better to be hated for what you are than to be loved for what you are not."
positive,"Be the reason someone smiles today."
positive,"Your vibe attracts your tribe."
positive,"Kindness is free."
positive,"Focus on the good."
positive,"There is no elevator to success. You have to take the stairs."
positive,"Plant seeds of kindness."
positive,"Radiate positive vibes."
positive,"Choose joy."
positive,"Make today amazing."
positive,"Stay close to people who feel like sunshine."
positive,"Be a warrior, not a worrier."
positive,"Don't count the days, make the days count."
positive,"Life is tough my darling, but so are you."
positive,"She believed she could, so she did."
positive,"Let your smile change the world."
positive,"Peace begins with a smile."
positive,"Simplicity is the ultimate sophistication."
positive,"Everything has beauty, but not everyone sees it."
positive,"Life isn't about finding yourself. Life is about creating yourself."
positive,"Do what makes your soul shine."
positive,"The purpose of our lives is to be happy."
positive,"Life is short, smile while you still have teeth."
positive,"Love the life you live. Live the life you love."
positive,"The best involves self-acceptance."
positive,"Self-love is the best love."
positive,"Take time to make your soul happy."
positive,"Don't forget to be awesome."
positive,"Be a voice, not an echo."
positive,"Leave a little sparkle wherever you go."
positive,"Good vibes only."
positive,"Start each day with a grateful heart."
positive,"Gratitude turns what we have into enough."
positive,"Enjoy the little things."
positive,"Collect moments, not things."
positive,"Life is a journey, not a destination."
positive,"Not all those who wander are lost."
positive,"Adventure awaits."
positive,"To travel is to live."
positive,"Jobs fill your pocket, but adventures fill your soul."
positive,"Go where you feel most alive."
positive,"Say yes to new adventures."
positive,"Travel expands the mind and fills the gap."
positive,"Work hard, dream big."
positive,"Hustle until your haters ask if you're hiring."
positive,"Dream it. Believe it. Build it."
positive,"Great things never came from comfort zones."
positive,"Wake up with determination. Go to bed with satisfaction."
positive,"Do something today that your future self will thank you for."
positive,"Little things make big days."
positive,"It's going to be hard, but hard does not mean impossible."
positive,"Don't stop until you're proud."
positive,"Your speed doesn't matter, forward is forward."
positive,"Fall seven times, stand up eight."
positive,"The expert in anything was once a beginner."
positive,"There is no substitute for hard work."
positive,"Success is the sum of small efforts, repeated day in and day out."
positive,"Motivation is what gets you started. Habit is what keeps you going."
positive,"Don't wait for opportunity. Create it."
positive,"Action is the foundational key to all success."
positive,"Aim for the moon. If you miss, you may hit a star."
positive,"If you can dream it, you can do it."
positive,"The future belongs to those who believe in the beauty of their dreams."
positive,"Don't let the fear of losing be greater than the excitement of winning."
positive,"Energy flows where attention goes."
positive,"What you think, you become."
positive,"You are the artist of your own life."
positive,"Happiness is an inside job."
positive,"Peace comes from within."
positive,"Trust the timing of your life."
positive,"Let go of what no longer serves you."
positive,"Live in the moment."
positive,"Yesterday is history, tomorrow is a mystery, today is a gift."
positive,"Life is a balance of holding on and letting go."
positive,"Forgive yourself for your past mistakes."
positive,"You are exactly where you need to be."
positive,"Embrace the journey."
positive,"Find joy in the ordinary."
positive,"Love yourself first."
positive,"Be your own biggest fan."
positive,"Comparison is the thief of joy."
positive,"Stay humble, work hard, be kind."
positive,"Keep shining."
positive,"The best is yet to come."
